Category,Exercise,Variation
Squat,Safety Bar Squat,"Mixed, Split, Bodyweight"
Pull,Chest Supported Row,"Supinated, Barbell, Single Arm"
Isolation,Tricep Pushdown,"Mixed, Split, Machine"
Squat,Hack Squat,"Neutral, Dumbbell, Feet Elevated"
Pull,Barbell Row,"Pronated, Smith Machine, Bands"
Squat,Safety Bar Squat,"False, Split, Barbell"
Pull,Chin-Up,"Pronated, Cable, Elevated Heels"
Pull,T-Bar Row,"Pronated, Staggered, Bodyweight"
Hinge,Back Extension,"Neutral, Split, Dumbbell"
Press,Machine Chest Press,"Supinated, Shoulder Width, Dumbbell"
Isolation,Lateral Raise,"Pronated, Barbell, Feet Elevated"
Squat,Back Squat,"False, Wide, Dumbbell"
Isolation,Leg Curl,"Mixed, Narrow, Bodyweight"
Press,Dumbbell Bench Press,"False, Split, Bodyweight"
Pull,Chest Supported Row,"Neutral, Wide, Machine"
Squat,Zercher Squat,"Pronated, Staggered, Barbell"
Isolation,Leg Curl,"Neutral, Narrow, Smith Machine"
Press,Smith Machine Press,"Neutral, Cable, Chains"
Isolation,Calf Raise,"Pronated, Barbell, Bands"
Pull,Cable Row,"Supinated, Cable, Deficit"
Squat,Front Squat,"Mixed, Staggered, Smith Machine"
Hinge,Good Morning,"Pronated, Dumbbell, Chains"
Hinge,Good Morning,"Pronated, Machine, Single Arm"
Press,Dip,"Mixed, Staggered, Bodyweight"
Hinge,Hip Thrust,"Pronated, Bodyweight, Chains"
Pull,Chest Supported Row,"Neutral, Machine, Bands"
Press,Dumbbell Bench Press,"Pronated, Smith Machine, Single Arm"
Isolation,Leg Curl,"False, Staggered, Cable"
Press,Smith Machine Press,"Neutral, Bodyweight, Feet Elevated"
Isolation,Calf Raise,"Supinated, Narrow, Smith Machine"
Press,Decline Bench Press,"Pronated, Bodyweight, Deficit"
Isolation,Leg Curl,"Neutral, Narrow, Barbell"
Pull,Lat Pulldown,"Neutral, Smith Machine, Elevated Heels"
Hinge,Back Extension,"Pronated, Split, Machine"
Isolation,Lateral Raise,"False, Narrow, Bodyweight"
Hinge,Good Morning,"Pronated, Shoulder Width, Dumbbell"
Press,Dumbbell Bench Press,"Pronated, Split, Smith Machine"
Hinge,Hip Thrust,"Neutral, Smith Machine, Deficit"
Isolation,Tricep Pushdown,"Pronated, Shoulder Width, Machine"
Hinge,Hip Thrust,"Supinated, Shoulder Width, Cable"
Pull,T-Bar Row,"Supinated, Smith Machine, Bands"
Press,Barbell Bench Press,"Supinated, Bodyweight, Chains"
Isolation,Tricep Pushdown,"Supinated, Dumbbell, Single Arm"
Hinge,Back Extension,"Pronated, Split, Cable"
Squat,Safety Bar Squat,"Pronated, Cable, Single Arm"
Isolation,Bicep Curl,"Neutral, Shoulder Width, Machine"
Isolation,Bicep Curl,"Supinated, Cable, Chains"
Hinge,Hip Thrust,"Neutral, Machine, Chains"
Isolation,Calf Raise,"Supinated, Wide, Dumbbell"
Isolation,Leg Curl,"Pronated, Cable, Feet Elevated"
Squat,Back Squat,"False, Shoulder Width, Bodyweight"
Press,Overhead Press,"False, Staggered, Bodyweight"
Pull,Cable Row,"Mixed, Wide, Bodyweight"
Squat,Safety Bar Squat,"Supinated, Cable, Feet Elevated"
Pull,Chin-Up,"Pronated, Shoulder Width, Machine"
Press,Dumbbell Bench Press,"False, Narrow, Dumbbell"
Hinge,Hip Thrust,"Supinated, Bodyweight, Bands"
Pull,Chin-Up,"Supinated, Dumbbell, Single Arm"
Squat,Goblet Squat,"Supinated, Staggered, Bodyweight"
Squat,Zercher Squat,"Supinated, Cable, Chains"
Isolation,Leg Curl,"Supinated, Split, Cable"
Hinge,Romanian Deadlift,"Mixed, Shoulder Width, Smith Machine"
Press,Overhead Press,"Neutral, Staggered, Bodyweight"
Pull,T-Bar Row,"Pronated, Shoulder Width, Barbell"
Pull,Chest Supported Row,"Pronated, Barbell, Elevated Heels"
Pull,Cable Row,"Neutral, Narrow, Cable"
Pull,T-Bar Row,"Neutral, Barbell, Elevated Heels"
Isolation,Calf Raise,"False, Shoulder Width, Cable"
Pull,Chest Supported Row,"False, Shoulder Width, Dumbbell"
Pull,Pull-Up,"Neutral, Split, Cable"
Press,Barbell Bench Press,"Neutral, Dumbbell, Deficit"
Pull,Pull-Up,"Pronated, Dumbbell, Bands"
Squat,Hack Squat,"Supinated, Staggered, Bodyweight"
Hinge,Romanian Deadlift,"Mixed, Wide, Barbell"
Hinge,Stiff-Leg Deadlift,"Neutral, Dumbbell, Chains"
Squat,Back Squat,"Pronated, Smith Machine, Chains"
Pull,Lat Pulldown,"Mixed, Split, Barbell"
Squat,Front Squat,"Pronated, Smith Machine, Elevated Heels"
Squat,Safety Bar Squat,"Supinated, Smith Machine, Feet Elevated"
Pull,T-Bar Row,"Supinated, Barbell, Single Arm"
Pull,Chin-Up,"Pronated, Smith Machine, Bands"
Pull,Chest Supported Row,"Supinated, Shoulder Width, Smith Machine"
Isolation,Leg Extension,"Supinated, Split, Barbell"
Squat,Zercher Squat,"Pronated, Cable, Bands"
Isolation,Calf Raise,"Mixed, Wide, Smith Machine"
Isolation,Bicep Curl,"Neutral, Cable, Bands"
Isolation,Tricep Pushdown,"Pronated, Narrow, Bodyweight"
Squat,Back Squat,"Mixed, Shoulder Width, Bodyweight"
Press,Machine Chest Press,"Neutral, Barbell, Deficit"
Pull,Chest Supported Row,"Neutral, Barbell, Chains"
Squat,Safety Bar Squat,"Neutral, Machine, Elevated Heels"
Pull,Lat Pulldown,"Pronated, Staggered, Bodyweight"
Hinge,Romanian Deadlift,"Neutral, Staggered, Dumbbell"
Squat,Zercher Squat,"Neutral, Cable, Bands"
Press,Barbell Bench Press,"Supinated, Shoulder Width, Barbell"
Pull,Chin-Up,"Pronated, Narrow, Bodyweight"
Press,Incline Bench Press,"Supinated, Barbell, Elevated Heels"
Pull,Barbell Row,"Neutral, Wide, Dumbbell"
Hinge,Back Extension,"Mixed, Staggered, Dumbbell"
Pull,T-Bar Row,"Neutral, Machine, Bands"
Hinge,Back Extension,"Pronated, Dumbbell, Deficit"
Isolation,Rear Delt Fly,"Supinated, Split, Bodyweight"
Squat,Zercher Squat,"Supinated, Dumbbell, Elevated Heels"
Squat,Goblet Squat,"Supinated, Dumbbell, Feet Elevated"
Press,Machine Chest Press,"Neutral, Cable, Feet Elevated"
Press,Dip,"Pronated, Bodyweight, Deficit"
Press,Machine Chest Press,"Supinated, Staggered, Machine"
Hinge,Romanian Deadlift,"Mixed, Narrow, Smith Machine"
Hinge,Good Morning,"Mixed, Split, Barbell"
Pull,Chest Supported Row,"Mixed, Wide, Cable"
Isolation,Calf Raise,"Neutral, Dumbbell, Bands"
Press,Incline Bench Press,"Supinated, Cable, Elevated Heels"
Squat,Goblet Squat,"Mixed, Narrow, Cable"
Hinge,Stiff-Leg Deadlift,"Supinated, Machine, Single Arm"
Squat,Goblet Squat,"Pronated, Dumbbell, Elevated Heels"
Squat,Hack Squat,"Supinated, Dumbbell, Feet Elevated"
Squat,Belt Squat,"Neutral, Shoulder Width, Barbell"
Press,Overhead Press,"Supinated, Dumbbell, Deficit"
Hinge,Stiff-Leg Deadlift,"Mixed, Shoulder Width, Smith Machine"
Pull,Lat Pulldown,"Pronated, Shoulder Width, Cable"
Squat,Back Squat,"False, Staggered, Bodyweight"
Pull,Lat Pulldown,"Supinated, Smith Machine, Bands"
Squat,Back Squat,"Supinated, Bodyweight, Elevated Heels"
Squat,Goblet Squat,"Mixed, Shoulder Width, Cable"
Hinge,Good Morning,"Supinated, Bodyweight, Feet Elevated"
Squat,Hack Squat,"Mixed, Narrow, Cable"
Squat,Belt Squat,"False, Shoulder Width, Bodyweight"
Squat,Hack Squat,"Pronated, Dumbbell, Elevated Heels"
Isolation,Tricep Pushdown,"Mixed, Wide, Machine"
Squat,Goblet Squat,"Pronated, Bodyweight, Feet Elevated"
Isolation,Tricep Pushdown,"Supinated, Bodyweight, Deficit"
Hinge,Stiff-Leg Deadlift,"Mixed, Wide, Barbell"
Hinge,Good Morning,"Pronated, Staggered, Bodyweight"
Squat,Front Squat,"Pronated, Narrow, Dumbbell"
Press,Machine Chest Press,"Neutral, Dumbbell, Elevated Heels"
Hinge,Hip Thrust,"Supinated, Smith Machine, Feet Elevated"
Squat,Zercher Squat,"Neutral, Smith Machine, Single Arm"
Squat,Belt Squat,"False, Shoulder Width, Dumbbell"
Pull,T-Bar Row,"Pronated, Barbell, Elevated Heels"
Press,Decline Bench Press,"Pronated, Wide, Cable"
Pull,Chest Supported Row,"Supinated, Smith Machine, Elevated Heels"
Isolation,Bicep Curl,"Neutral, Shoulder Width, Smith Machine"
Pull,T-Bar Row,"False, Shoulder Width, Dumbbell"
Squat,Hack Squat,"Pronated, Bodyweight, Feet Elevated"
Pull,Chin-Up,"Supinated, Bodyweight, Deficit"
Squat,Goblet Squat,"Supinated, Split, Machine"
Pull,Barbell Row,"Supinated, Barbell, Feet Elevated"
Pull,Lat Pulldown,"False, Wide, Barbell"
Pull,Lat Pulldown,"Pronated, Shoulder Width, Barbell"
Pull,Chest Supported Row,"Neutral, Staggered, Bodyweight"
Pull,Pull-Up,"Pronated, Bodyweight, Chains"
Squat,Safety Bar Squat,"Mixed, Staggered, Bodyweight"
Pull,Lat Pulldown,"Neutral, Barbell, Elevated Heels"
Isolation,Tricep Pushdown,"Neutral, Bodyweight, Elevated Heels"
Squat,Zercher Squat,"Neutral, Shoulder Width, Smith Machine"
Isolation,Rear Delt Fly,"Mixed, Narrow, Dumbbell"
Pull,T-Bar Row,"Supinated, Shoulder Width, Smith Machine"
Press,Overhead Press,"Pronated, Staggered, Barbell"
Isolation,Lateral Raise,"Supinated, Split, Bodyweight"
Pull,Barbell Row,"False, Narrow, Barbell"
Isolation,Leg Curl,"Pronated, Split, Machine"
Squat,Hack Squat,"Supinated, Split, Machine"
Press,Decline Bench Press,"Mixed, Staggered, Smith Machine"
Pull,Pull-Up,"Neutral, Smith Machine, Deficit"
Pull,Pull-Up,"Supinated, Shoulder Width, Cable"
Hinge,Good Morning,"Supinated, Smith Machine, Bands"
Isolation,Tricep Pushdown,"False, Split, Bodyweight"
Pull,Lat Pulldown,"Supinated, Barbell, Single Arm"
Squat,Back Squat,"Mixed, Split, Machine"
Press,Dumbbell Bench Press,"Pronated, Barbell, Feet Elevated"
Pull,Chin-Up,"Neutral, Bodyweight, Elevated Heels"
Hinge,Stiff-Leg Deadlift,"Pronated, Cable, Elevated Heels"
Hinge,Hip Thrust,"False, Shoulder Width, Machine"
Hinge,Back Extension,"Mixed, Staggered, Barbell"
Isolation,Leg Curl,"Pronated, Split, Cable"
Squat,Belt Squat,"Mixed, Shoulder Width, Bodyweight"
Pull,Pull-Up,"Neutral, Machine, Chains"
Squat,Hack Squat,"Pronated, Wide, Smith Machine"
Isolation,Rear Delt Fly,"False, Split, Smith Machine"
Press,Machine Chest Press,"Supinated, Narrow, Bodyweight"
Hinge,Romanian Deadlift,"Pronated, Smith Machine, Bands"
Squat,Front Squat,"Pronated, Machine, Elevated Heels"
Squat,Hack Squat,"Pronated, Narrow, Smith Machine"
Pull,Lat Pulldown,"Neutral, Wide, Machine"
Squat,Zercher Squat,"Supinated, Staggered, Barbell"
Isolation,Tricep Pushdown,"Pronated, Smith Machine, Single Arm"
Pull,Pull-Up,"Supinated, Bodyweight, Bands"
Isolation,Leg Extension,"Pronated, Dumbbell, Single Arm"
Hinge,Back Extension,"Mixed, Shoulder Width, Barbell"
Press,Dumbbell Bench Press,"Neutral, Cable, Chains"
Squat,Safety Bar Squat,"Mixed, Wide, Bodyweight"
Squat,Hack Squat,"Pronated, Machine, Deficit"
Pull,T-Bar Row,"Mixed, Wide, Cable"
Press,Dumbbell Bench Press,"False, Narrow, Bodyweight"
Hinge,Good Morning,"Pronated, Shoulder Width, Barbell"
Pull,Lat Pulldown,"Neutral, Machine, Bands"
Pull,Barbell Row,"Mixed, Split, Dumbbell"
Hinge,Good Morning,"Neutral, Barbell, Elevated Heels"
Pull,Cable Row,"False, Split, Machine"
Pull,Chest Supported Row,"False, Wide, Smith Machine"
Pull,Chin-Up,"Pronated, Smith Machine, Single Arm"
Isolation,Leg Extension,"Neutral, Split, Cable"
Hinge,Back Extension,"Pronated, Machine, Bands"
Squat,Safety Bar Squat,"Neutral, Narrow, Cable"
Pull,Barbell Row,"Supinated, Shoulder Width, Dumbbell"
Squat,Back Squat,"Pronated, Shoulder Width, Machine"
Pull,Chin-Up,"Pronated, Split, Smith Machine"
Squat,Back Squat,"Supinated, Dumbbell, Single Arm"
Squat,Front Squat,"Pronated, Dumbbell, Feet Elevated"
Isolation,Tricep Pushdown,"False, Narrow, Dumbbell"
Hinge,Good Morning,"Supinated, Barbell, Single Arm"
Hinge,Deadlift,"Neutral, Smith Machine, Bands"
Isolation,Lateral Raise,"Mixed, Narrow, Dumbbell"
Hinge,Hip Thrust,"Mixed, Staggered, Bodyweight"
Squat,Belt Squat,"False, Staggered, Bodyweight"
Pull,Chest Supported Row,"Supinated, Dumbbell, Deficit"
Squat,Hack Squat,"Mixed, Split, Bodyweight"
Pull,Cable Row,"False, Shoulder Width, Smith Machine"
Hinge,Back Extension,"Neutral, Wide, Smith Machine"
Pull,T-Bar Row,"Supinated, Smith Machine, Elevated Heels"
Squat,Hack Squat,"False, Split, Barbell"
Pull,Chin-Up,"Neutral, Smith Machine, Chains"
Isolation,Calf Raise,"Supinated, Smith Machine, Chains"
Squat,Front Squat,"Supinated, Narrow, Cable"
Press,Dumbbell Bench Press,"Supinated, Smith Machine, Deficit"
Press,Incline Bench Press,"Neutral, Barbell, Feet Elevated"
Press,Dip,"Pronated, Wide, Cable"
Squat,Belt Squat,"Neutral, Staggered, Bodyweight"
Pull,Chin-Up,"Supinated, Barbell, Feet Elevated"
Press,Overhead Press,"Pronated, Cable, Bands"
Press,Barbell Bench Press,"Supinated, Wide, Machine"
Pull,T-Bar Row,"Neutral, Staggered, Bodyweight"
Pull,Lat Pulldown,"Pronated, Barbell, Elevated Heels"
Isolation,Lateral Raise,"False, Split, Smith Machine"
Pull,Lat Pulldown,"False, Shoulder Width, Dumbbell"
Hinge,Good Morning,"Neutral, Machine, Bands"
Pull,Chin-Up,"False, Narrow, Barbell"
Isolation,Bicep Curl,"Neutral, Narrow, Dumbbell"
Isolation,Rear Delt Fly,"Pronated, Staggered, Machine"
Press,Barbell Bench Press,"Neutral, Wide, Bodyweight"
Isolation,Calf Raise,"Neutral, Staggered, Dumbbell"
Squat,Goblet Squat,"Neutral, Smith Machine, Feet Elevated"
Press,Dip,"Mixed, Staggered, Smith Machine"
Hinge,Stiff-Leg Deadlift,"Pronated, Smith Machine, Bands"
Press,Smith Machine Press,"Supinated, Wide, Cable"
Pull,Lat Pulldown,"Supinated, Shoulder Width, Smith Machine"
Isolation,Bicep Curl,"Supinated, Barbell, Elevated Heels"
Isolation,Rear Delt Fly,"Supinated, Bodyweight, Single Arm"
Squat,Front Squat,"Neutral, Split, Barbell"
Squat,Zercher Squat,"Neutral, Narrow, Dumbbell"
Press,Overhead Press,"Supinated, Dumbbell, Elevated Heels"
Squat,Back Squat,"Pronated, Narrow, Bodyweight"
Squat,Goblet Squat,"Supinated, Cable, Feet Elevated"
Squat,Hack Squat,"Pronated, Cable, Single Arm"
Squat,Hack Squat,"Neutral, Smith Machine, Feet Elevated"
Hinge,Back Extension,"Neutral, Narrow, Machine"
Isolation,Calf Raise,"Mixed, Narrow, Smith Machine"
Pull,Lat Pulldown,"Neutral, Barbell, Chains"
Hinge,Hip Thrust,"Neutral, Shoulder Width, Machine"
Pull,Barbell Row,"Mixed, Narrow, Machine"
Press,Barbell Bench Press,"Pronated, Smith Machine, Feet Elevated"
Isolation,Bicep Curl,"Supinated, Cable, Elevated Heels"
Squat,Hack Squat,"Supinated, Cable, Feet Elevated"
Pull,Pull-Up,"Supinated, Smith Machine, Feet Elevated"
Press,Barbell Bench Press,"Neutral, Cable, Elevated Heels"
Isolation,Rear Delt Fly,"Pronated, Narrow, Cable"
Hinge,Good Morning,"Pronated, Barbell, Elevated Heels"
Press,Smith Machine Press,"Neutral, Shoulder Width, Cable"
Hinge,Back Extension,"Pronated, Narrow, Machine"
Pull,Barbell Row,"Neutral, Staggered, Barbell"
Hinge,Good Morning,"False, Shoulder Width, Dumbbell"
Hinge,Deadlift,"Supinated, Bodyweight, Chains"
Hinge,Romanian Deadlift,"Neutral, Wide, Dumbbell"
Press,Dip,"Supinated, Barbell, Elevated Heels"
Press,Smith Machine Press,"Neutral, Narrow, Smith Machine"
Pull,Lat Pulldown,"Mixed, Wide, Cable"
Press,Decline Bench Press,"Pronated, Narrow, Dumbbell"
Press,Overhead Press,"Neutral, Smith Machine, Single Arm"
Isolation,Leg Extension,"Pronated, Bodyweight, Chains"
Pull,Pull-Up,"Neutral, Machine, Elevated Heels"
Isolation,Rear Delt Fly,"Supinated, Barbell, Deficit"
Squat,Belt Squat,"Supinated, Dumbbell, Deficit"
Press,Smith Machine Press,"False, Staggered, Cable"
Press,Incline Bench Press,"Mixed, Staggered, Machine"
Hinge,Good Morning,"Supinated, Shoulder Width, Smith Machine"
Hinge,Back Extension,"Supinated, Wide, Bodyweight"
Press,Smith Machine Press,"Neutral, Narrow, Barbell"
Pull,T-Bar Row,"Supinated, Dumbbell, Deficit"
Pull,Chest Supported Row,"Supinated, Cable, Chains"
Isolation,Calf Raise,"Pronated, Narrow, Barbell"
Pull,Barbell Row,"Pronated, Barbell, Single Arm"
Isolation,Lateral Raise,"Pronated, Staggered, Machine"
Isolation,Bicep Curl,"Mixed, Narrow, Barbell"
Isolation,Leg Extension,"Neutral, Smith Machine, Deficit"
Squat,Zercher Squat,"Neutral, Bodyweight, Feet Elevated"
Isolation,Rear Delt Fly,"Supinated, Wide, Barbell"
Squat,Back Squat,"Mixed, Wide, Machine"
Press,Dumbbell Bench Press,"Supinated, Dumbbell, Bands"
Press,Overhead Press,"Neutral, Shoulder Width, Smith Machine"
Squat,Front Squat,"Pronated, Split, Dumbbell"
Hinge,Hip Thrust,"Pronated, Bodyweight, Deficit"
Hinge,Deadlift,"Pronated, Machine, Chains"
Squat,Front Squat,"Pronated, Smith Machine, Deficit"
Isolation,Leg Extension,"Neutral, Machine, Chains"
Press,Smith Machine Press,"Pronated, Cable, Feet Elevated"
Squat,Zercher Squat,"Mixed, Narrow, Barbell"
Pull,Lat Pulldown,"Supinated, Smith Machine, Elevated Heels"
Press,Barbell Bench Press,"Supinated, Narrow, Barbell"
Press,Machine Chest Press,"Mixed, Shoulder Width, Cable"
Hinge,Stiff-Leg Deadlift,"Supinated, Bodyweight, Deficit"
Isolation,Leg Extension,"Supinated, Bodyweight, Bands"
Isolation,Leg Curl,"Mixed, Shoulder Width, Barbell"
Pull,Chest Supported Row,"Pronated, Cable, Bands"
Isolation,Calf Raise,"Supinated, Narrow, Machine"
Pull,Lat Pulldown,"Neutral, Staggered, Bodyweight"
Press,Dumbbell Bench Press,"Supinated, Split, Bodyweight"
Isolation,Rear Delt Fly,"Neutral, Split, Machine"
Hinge,Good Morning,"Mixed, Wide, Cable"
Press,Machine Chest Press,"Supinated, Split, Dumbbell"
Pull,Lat Pulldown,"Neutral, Barbell, Bands"
Squat,Belt Squat,"Pronated, Staggered, Barbell"
Isolation,Lateral Raise,"Pronated, Narrow, Cable"
Press,Decline Bench Press,"Pronated, Machine, Elevated Heels"
Press,Overhead Press,"Supinated, Staggered, Barbell"
Hinge,Romanian Deadlift,"Supinated, Barbell, Feet Elevated"
Squat,Goblet Squat,"Neutral, Dumbbell, Deficit"
Isolation,Tricep Pushdown,"Pronated, Barbell, Feet Elevated"
Isolation,Leg Extension,"False, Split, Barbell"
Pull,T-Bar Row,"Pronated, Staggered, Barbell"
Press,Incline Bench Press,"Neutral, Bodyweight, Chains"
Isolation,Leg Curl,"Pronated, Machine, Bands"
Hinge,Back Extension,"Neutral, Cable, Deficit"
Pull,Chest Supported Row,"Neutral, Cable, Bands"
Hinge,Romanian Deadlift,"False, Narrow, Barbell"
Squat,Back Squat,"False, Split, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Neutral, Bodyweight, Elevated Heels"
Hinge,Deadlift,"Supinated, Shoulder Width, Barbell"
Pull,Chin-Up,"Pronated, Barbell, Feet Elevated"
Pull,Pull-Up,"Mixed, Staggered, Bodyweight"
Pull,Chest Supported Row,"Supinated, Dumbbell, Elevated Heels"
Hinge,Stiff-Leg Deadlift,"Neutral, Wide, Dumbbell"
Press,Decline Bench Press,"Pronated, Barbell, Chains"
Pull,Barbell Row,"Supinated, Narrow, Dumbbell"
Isolation,Tricep Pushdown,"Neutral, Cable, Chains"
Isolation,Lateral Raise,"Supinated, Barbell, Deficit"
Squat,Front Squat,"Pronated, Barbell, Bands"
Press,Incline Bench Press,"Pronated, Wide, Machine"
Isolation,Tricep Pushdown,"False, Narrow, Bodyweight"
Isolation,Leg Curl,"Neutral, Wide, Smith Machine"
Hinge,Good Morning,"Supinated, Smith Machine, Elevated Heels"
Squat,Safety Bar Squat,"Pronated, Wide, Cable"
Isolation,Lateral Raise,"Pronated, Staggered, Dumbbell"
Squat,Safety Bar Squat,"False, Shoulder Width, Smith Machine"
Isolation,Lateral Raise,"Supinated, Wide, Barbell"
Squat,Front Squat,"Supinated, Narrow, Smith Machine"
Pull,Cable Row,"Mixed, Staggered, Cable"
Press,Incline Bench Press,"False, Staggered, Dumbbell"
Squat,Goblet Squat,"Supinated, Cable, Deficit"
Isolation,Calf Raise,"Supinated, Split, Smith Machine"
Hinge,Good Morning,"Neutral, Staggered, Bodyweight"
Pull,Barbell Row,"Supinated, Machine, Feet Elevated"
Hinge,Stiff-Leg Deadlift,"Pronated, Smith Machine, Single Arm"
Press,Dumbbell Bench Press,"Pronated, Split, Bodyweight"
Pull,Lat Pulldown,"False, Wide, Smith Machine"
Pull,Chin-Up,"False, Narrow, Bodyweight"
Isolation,Bicep Curl,"Neutral, Barbell, Feet Elevated"
Press,Incline Bench Press,"Supinated, Machine, Elevated Heels"
Hinge,Romanian Deadlift,"Mixed, Split, Dumbbell"
Squat,Hack Squat,"Supinated, Cable, Deficit"
Hinge,Stiff-Leg Deadlift,"Pronated, Split, Smith Machine"
Pull,T-Bar Row,"Supinated, Cable, Chains"
Press,Dumbbell Bench Press,"Mixed, Narrow, Dumbbell"
Squat,Front Squat,"Supinated, Wide, Dumbbell"
Pull,Chest Supported Row,"Neutral, Smith Machine, Single Arm"
Hinge,Deadlift,"False, Shoulder Width, Barbell"
Squat,Back Squat,"False, Narrow, Dumbbell"
Squat,Safety Bar Squat,"Mixed, Staggered, Smith Machine"
Press,Barbell Bench Press,"Supinated, Staggered, Smith Machine"
Hinge,Romanian Deadlift,"Supinated, Shoulder Width, Dumbbell"
Isolation,Lateral Raise,"Neutral, Split, Machine"
Isolation,Tricep Pushdown,"Supinated, Smith Machine, Deficit"
Press,Dumbbell Bench Press,"Supinated, Cable, Bands"
Pull,Lat Pulldown,"Supinated, Dumbbell, Deficit"
Press,Decline Bench Press,"Mixed, Staggered, Machine"
Hinge,Stiff-Leg Deadlift,"Neutral, Smith Machine, Chains"
Squat,Belt Squat,"Mixed, Wide, Machine"
Isolation,Rear Delt Fly,"Mixed, Split, Smith Machine"
Squat,Goblet Squat,"Mixed, Wide, Bodyweight"
Pull,Pull-Up,"Neutral, Shoulder Width, Machine"
Hinge,Stiff-Leg Deadlift,"Supinated, Barbell, Feet Elevated"
Squat,Belt Squat,"Pronated, Cable, Bands"
Press,Dumbbell Bench Press,"False, Split, Smith Machine"
Pull,Cable Row,"Pronated, Bodyweight, Elevated Heels"
Pull,Chest Supported Row,"Neutral, Shoulder Width, Smith Machine"
Press,Overhead Press,"Neutral, Narrow, Dumbbell"
Press,Decline Bench Press,"Neutral, Split, Barbell"
Pull,T-Bar Row,"Pronated, Cable, Bands"
Squat,Front Squat,"Supinated, Wide, Smith Machine"
Press,Smith Machine Press,"Neutral, Split, Dumbbell"
Hinge,Stiff-Leg Deadlift,"False, Narrow, Barbell"
Isolation,Leg Extension,"Supinated, Smith Machine, Feet Elevated"
Press,Overhead Press,"Supinated, Smith Machine, Single Arm"
Squat,Goblet Squat,"Neutral, Narrow, Cable"
Squat,Hack Squat,"Mixed, Wide, Bodyweight"
Isolation,Leg Curl,"Pronated, Narrow, Machine"
Press,Dip,"Pronated, Machine, Elevated Heels"
Squat,Front Squat,"Mixed, Wide, Smith Machine"
Pull,T-Bar Row,"Neutral, Cable, Bands"
Hinge,Hip Thrust,"Pronated, Wide, Cable"
Squat,Hack Squat,"Neutral, Narrow, Cable"
Squat,Belt Squat,"Supinated, Dumbbell, Elevated Heels"
Isolation,Leg Extension,"Neutral, Machine, Elevated Heels"
Press,Dumbbell Bench Press,"Supinated, Shoulder Width, Machine"
Pull,T-Bar Row,"Supinated, Dumbbell, Elevated Heels"
Squat,Belt Squat,"False, Split, Bodyweight"
Hinge,Good Morning,"Supinated, Dumbbell, Deficit"
Isolation,Leg Curl,"Supinated, Wide, Bodyweight"
Press,Smith Machine Press,"Pronated, Split, Machine"
Pull,Cable Row,"Pronated, Dumbbell, Feet Elevated"
Press,Dip,"Pronated, Barbell, Chains"
Squat,Front Squat,"Supinated, Cable, Single Arm"
Isolation,Calf Raise,"Pronated, Cable, Chains"
Pull,Barbell Row,"Pronated, Wide, Dumbbell"
Pull,Pull-Up,"Pronated, Bodyweight, Deficit"
Squat,Safety Bar Squat,"Pronated, Smith Machine, Elevated Heels"
Press,Smith Machine Press,"Pronated, Split, Cable"
Isolation,Rear Delt Fly,"Pronated, Shoulder Width, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Mixed, Split, Dumbbell"
Hinge,Hip Thrust,"Mixed, Staggered, Smith Machine"
Hinge,Romanian Deadlift,"Mixed, Narrow, Machine"
Isolation,Calf Raise,"Supinated, Staggered, Cable"
Pull,Cable Row,"Supinated, Narrow, Cable"
Press,Overhead Press,"Neutral, Bodyweight, Feet Elevated"
Isolation,Rear Delt Fly,"Neutral, Dumbbell, Single Arm"
Isolation,Lateral Raise,"Mixed, Split, Smith Machine"
Press,Decline Bench Press,"Pronated, Split, Dumbbell"
Press,Decline Bench Press,"Pronated, Smith Machine, Deficit"
Squat,Belt Squat,"Neutral, Smith Machine, Single Arm"
Hinge,Romanian Deadlift,"Neutral, Staggered, Barbell"
Pull,T-Bar Row,"Neutral, Smith Machine, Single Arm"
Press,Dumbbell Bench Press,"Pronated, Staggered, Machine"
Isolation,Tricep Pushdown,"Supinated, Dumbbell, Bands"
Hinge,Good Morning,"Pronated, Staggered, Barbell"
Pull,Lat Pulldown,"Supinated, Cable, Chains"
Isolation,Calf Raise,"Supinated, Barbell, Chains"
Press,Dip,"Mixed, Staggered, Machine"
Press,Dumbbell Bench Press,"Supinated, Bodyweight, Single Arm"
Hinge,Deadlift,"Supinated, Wide, Machine"
Isolation,Leg Curl,"Neutral, Cable, Deficit"
Hinge,Hip Thrust,"Supinated, Barbell, Elevated Heels"
Hinge,Romanian Deadlift,"Pronated, Barbell, Single Arm"
Pull,T-Bar Row,"Neutral, Shoulder Width, Smith Machine"
Press,Incline Bench Press,"False, Staggered, Machine"
Pull,Barbell Row,"Neutral, Split, Smith Machine"
Isolation,Leg Extension,"Mixed, Staggered, Bodyweight"
Hinge,Deadlift,"Neutral, Wide, Bodyweight"
Isolation,Tricep Pushdown,"Supinated, Split, Bodyweight"
Isolation,Bicep Curl,"Neutral, Bodyweight, Chains"
Press,Machine Chest Press,"Supinated, Bodyweight, Chains"
Hinge,Hip Thrust,"Supinated, Cable, Elevated Heels"
Pull,Chest Supported Row,"Neutral, Narrow, Dumbbell"
Press,Decline Bench Press,"Pronated, Barbell, Bands"
